Document Number,Uneven Brackets
1,F
2,T
3,F
4,F
5,F
6,T
7,T
8,F
9,F
10,F
11,F
12,F
13,F
14,F
15,T
16,F
17,F
18,T
19,F
20,T
21,F
22,T
23,F
24,F
25,F
26,F
27,F
28,F
29,T
30,F
31,F
32,F
33,F
34,T
35,F
36,F
37,T
38,T
39,F
40,F
41,T
42,F
43,T
44,F
45,F
46,F
47,T
48,F
49,F
50,F
51,F
52,F
53,F
54,T
55,T
56,F
57,T
58,F
59,F
60,F
61,F
62,F
63,F
64,F
65,F
66,F
67,F
68,T
69,F
70,T
71,T
72,T
73,F
74,F
75,F
76,F
77,F
78,F
79,T
80,T
81,F
82,T
83,T
84,T
85,F
86,F
87,T
88,F
89,T
90,F
91,T
92,F
93,F
94,F
95,F
96,F
97,T
98,F
99,F
100,F
101,T
102,F
103,T
104,T
105,F
106,T
107,T
108,F
109,F
110,F
111,F
112,F
113,T
114,F
115,F
116,F
117,F
118,T
119,F
120,T
121,F
122,T
123,F
124,T
125,F
126,F
127,T
128,T
129,F
130,F
131,T
132,F
133,F
134,F
135,F
136,T
137,T
138,F
139,T
140,T
141,F
142,F
143,F
144,F
145,T
146,F
147,F
148,F
149,F
150,F
151,T
152,T
153,F
154,F
155,T
156,F
157,F
158,F
159,F
160,F
161,F
162,F
163,F
164,T
165,F
166,T
167,F
168,T
169,F
170,T
171,F
172,F
173,T
174,T
175,F
176,T
177,T
178,T
179,F
180,F
181,F
182,F
183,F
184,F
185,F
186,F
187,F
188,T
189,F
190,F
191,F
192,T
193,F
194,T
195,F
196,F
197,F
198,T
199,F
200,F
201,T
202,F
203,T
204,F
205,T
206,T
207,T
208,F
209,T
210,F
211,F
212,F
213,T
214,T
215,T
216,F
217,T
218,T
219,T
220,F
221,F
222,T
223,F
224,T
225,T
226,T
227,T
228,T
229,F
230,F
231,F
232,T
233,F
234,T
235,F
236,F
237,T
238,T
239,F
240,F
241,F
242,F
243,T
244,T
245,F
246,F
247,F
248,F
249,F
250,F
251,F
252,F
253,F
254,T
255,F
256,F
257,F
258,T
259,T
260,F
261,F
262,F
263,T
264,T
265,F
266,F
267,F
268,F
269,F
270,F
271,F
272,F
273,T
274,F
275,T
276,T
277,F
278,T
279,F
280,T
281,F
282,F
283,F
284,F
285,F
286,T
287,T
288,F
289,F
290,F
291,T
292,F
293,F
294,F
295,F
296,F
297,T
298,F
299,F
300,F
301,F
302,F
303,F
304,T
305,F
306,T
307,F
308,T
309,F
310,F
311,F
312,F
313,F
314,F
315,T
316,T
317,F
318,F
319,F
320,T
321,F
322,F
323,F
324,F
325,F
326,F
327,F
328,F
329,F
330,T
331,F
332,T
333,F
334,T
335,F
336,F
337,T
338,T
339,F
340,F
341,F
342,F
343,F
344,F
345,T
346,F
347,F
348,F
349,F
350,F
351,F
352,F
353,F
354,F
355,F
356,T
357,T
358,F
359,F
360,F
361,T
362,F
363,F
364,T
365,F
366,F
367,T
368,F
369,F
370,F
371,T
372,F
373,F
374,F
375,F
376,F
377,F
378,F
379,F
380,F
381,F
382,F
383,T
384,F
385,T
386,F
387,T
388,F
389,F
390,T
391,F
392,T
393,F
394,T
395,F
396,T
397,F
398,T
399,T
400,F
401,F
402,F
403,T
404,T
405,F
406,F
407,F
408,F
409,F
410,T
411,F
412,F
413,F
414,F
415,T
416,F
417,F
418,F
419,T
420,F
421,F
422,F
423,F
424,F
425,F
426,F
427,F
428,F
429,T
430,T
431,T
432,F
433,F
434,F
435,T
436,T
437,F
438,T
439,F
440,F
441,T
442,F
443,F
444,T
445,F
446,F
447,F
448,F
449,F
450,F
451,T
452,T
453,T
454,T
455,F
456,F
457,F
458,F
459,T
460,T
461,T
462,F
463,T
464,F
465,T
466,F
467,F
468,F
469,F
470,T
471,T
472,F
473,T
474,F
475,F
476,F
477,F
478,F
479,F
480,T
481,T
482,T
483,F
484,F
485,F
486,F
487,F
488,F
489,T
490,T
491,F
492,F
493,F
494,F
495,F
496,F
497,T
498,F
499,F
500,T
501,F
502,T
503,F
504,F
505,T
506,F
507,F
508,F
509,F
510,F
511,F
512,T
513,F
514,T
515,F
516,F
517,T
518,T
519,F
520,F
521,T
522,F
523,F
524,T
525,F
526,F
527,F
528,F
529,F
530,T
531,F
532,T
533,F
534,F
535,F
536,T
537,F
538,F
539,T
540,F
541,F
542,T
543,T
544,T
545,F
546,F
547,F
548,T
549,F
550,T
551,F
552,F
553,F
554,T
555,F
556,F
557,F
558,T
559,F
560,F
561,F
562,F
563,F
564,T
565,T
566,F
567,T
568,F
569,F
570,F
571,T
572,F
573,F
574,F
575,T
576,T
577,F
578,F
579,F
580,T
581,F
582,F
583,F
584,F
585,T
586,F
587,F
588,F
589,F
590,T
591,T
592,T
593,F
594,F
595,T
596,F
597,F
598,T
599,T
600,T
601,T
602,T
603,F
604,T
605,T
606,T
607,T
608,F
609,F
610,T
611,F
612,F
613,F
614,F
615,F
616,F
617,F
618,F
619,T
620,F
621,F
622,T
623,F
624,F
625,T
626,F
627,T
628,T
629,F
630,F
631,F
632,F
633,F
634,F
635,F
636,F
637,F
638,T
639,T
640,T
641,F
642,F
643,F
644,F
645,F
646,F
647,T
648,F
649,F
650,T
651,F
652,F
653,F
654,F
655,T
656,F
657,F
658,F
659,F
660,F
661,F
662,F
663,F
664,F
665,F
666,F
667,F
668,F
669,F
670,F
671,F
672,F
673,T
674,F
675,F
676,T
677,F
678,F
679,T
680,F
681,F
682,T
683,T
684,T
685,F
686,T
687,T
688,F
689,F
690,F
691,F
692,T
693,F
694,F
695,F
696,F
697,T
698,T
699,F
700,F
701,F
702,F
703,T
704,F
705,F
706,F
707,F
708,F
709,F
710,T
711,F
712,F
713,F
714,F
715,F
716,F
717,F
718,T
719,F
720,F
721,F
722,F
723,F
724,F
725,T
726,T
727,F
728,F
729,F
730,T
731,F
732,F
733,F
734,F
735,F
736,F
737,T
738,T
739,F
740,F
741,T
742,F
743,F
744,F
745,F
746,T
747,T
748,F
749,F
750,F
751,T
752,T
753,F
754,F
755,T
756,F
757,T
758,T
759,F
760,F
761,F
762,F
763,T
764,T
765,F
766,F
767,F
768,F
769,F
770,F
771,F
772,F
773,T
774,F
775,F
776,F
777,F
778,F
779,F
780,F
781,F
782,F
783,F
784,T
785,F
786,F
787,F
788,F
789,T
790,T
791,F
792,F
793,F
794,F
795,F
796,F
797,F
798,F
799,F
800,T
801,F
802,T
803,T
804,F
805,T
806,F
807,F
808,F
809,F
810,F
811,F
812,T
813,F
814,F
815,F
816,F
817,F
818,T
819,F
820,F
821,T
822,F
823,F
824,F
825,F
826,F
827,F
828,F
829,F
830,F
831,F
832,F
833,F
834,F
835,F
836,F
837,F
838,F
839,F
840,T
841,T
842,F
843,T
844,F
845,T
846,F
847,F
848,F
849,F
850,F
851,F
852,T
853,T
854,F
855,T
856,F
857,T
858,F
859,F
860,F
861,F
862,T
863,F
864,F
865,F
866,F
867,T
868,F
869,F
870,F
871,F
872,F
873,T
874,F
875,T
876,F
877,F
878,T
879,F
880,T
881,T
882,T
883,F
884,F
885,T
886,F
887,F
888,T
889,T
890,T
891,F
892,F
893,F
894,F
895,F
896,F
897,F
898,T
899,F
900,F
901,F
902,T
903,F
904,T
905,F
906,F
907,F
908,T
909,T
910,F
911,F
912,T
913,F
914,F
915,T
916,F
917,F
918,F
919,F
920,T
921,F
922,F
923,T
924,F
925,F
926,T
927,T
928,F
929,F
930,T
931,F
932,F
933,T
934,F
935,T
936,T
937,T
938,F
939,T
940,F
941,F
942,F
943,F
944,F
945,T
946,F
947,F
948,T
949,F
950,T
951,T
952,T
953,F
954,F
955,F
956,F
957,F
958,F
959,F
960,T
961,F
962,F
963,F
964,F
965,F
966,F
